时间,金价(USD/盎司),金价(CNY/克)
00:00:00,5069.7 USD/oz,1127.92 CNY/克
00:05:00,5068.0 USD/oz,1127.54 CNY/克
00:10:00,5055.1 USD/oz,1124.67 CNY/克
00:15:00,4990.6 USD/oz,1110.32 CNY/克
00:20:00,4931.4 USD/oz,1097.15 CNY/克
00:25:00,4928.0 USD/oz,1096.4 CNY/克
00:30:00,4885.0 USD/oz,1086.83 CNY/克
00:35:00,4938.5 USD/oz,1098.73 CNY/克
00:40:00,4949.6 USD/oz,1101.2 CNY/克
00:45:00,4957.1 USD/oz,1102.87 CNY/克
00:50:00,4943.2 USD/oz,1099.78 CNY/克
00:55:00,4942.1 USD/oz,1099.53 CNY/克
01:00:00,4951.3 USD/oz,1101.58 CNY/克
01:05:00,4951.3 USD/oz,1101.58 CNY/克
01:10:00,4954.2 USD/oz,1102.23 CNY/克
01:15:00,4961.8 USD/oz,1103.92 CNY/克
01:20:00,4962.3 USD/oz,1104.03 CNY/克
01:25:00,4978.4 USD/oz,1107.61 CNY/克
01:30:00,4975.7 USD/oz,1107.01 CNY/克
01:35:00,4965.6 USD/oz,1104.76 CNY/克
01:40:00,4967.6 USD/oz,1105.21 CNY/克
01:45:00,4965.8 USD/oz,1104.81 CNY/克
01:50:00,4959.0 USD/oz,1103.29 CNY/克
01:55:00,4948.4 USD/oz,1100.93 CNY/克
02:00:00,4945.9 USD/oz,1100.38 CNY/克
02:05:00,4934.9 USD/oz,1097.93 CNY/克
02:10:00,4923.8 USD/oz,1095.46 CNY/克
02:15:00,4930.4 USD/oz,1096.93 CNY/克
02:20:00,4915.0 USD/oz,1093.5 CNY/克
02:25:00,4921.5 USD/oz,1094.95 CNY/克
02:30:00,4930.3 USD/oz,1096.91 CNY/克
02:35:00,4934.0 USD/oz,1097.73 CNY/克
02:40:00,4933.9 USD/oz,1097.71 CNY/克
02:45:00,4946.0 USD/oz,1100.4 CNY/克
02:50:00,4941.3 USD/oz,1099.36 CNY/克
02:55:00,4947.4 USD/oz,1100.71 CNY/克
03:00:00,4937.7 USD/oz,1098.55 CNY/克
03:05:00,4936.8 USD/oz,1098.35 CNY/克
03:10:00,4942.2 USD/oz,1099.56 CNY/克
03:15:00,4934.3 USD/oz,1097.8 CNY/克
03:20:00,4939.5 USD/oz,1098.95 CNY/克
03:25:00,4943.6 USD/oz,1099.87 CNY/克
03:30:00,4933.3 USD/oz,1097.58 CNY/克
03:35:00,4946.7 USD/oz,1100.56 CNY/克
03:40:00,4950.1 USD/oz,1101.31 CNY/克
03:45:00,4946.4 USD/oz,1100.49 CNY/克
03:50:00,4952.3 USD/oz,1101.8 CNY/克
03:55:00,4957.0 USD/oz,1102.85 CNY/克
04:00:00,4947.0 USD/oz,1100.62 CNY/克
04:05:00,4943.9 USD/oz,1099.93 CNY/克
04:10:00,4942.5 USD/oz,1099.62 CNY/克
04:15:00,4942.2 USD/oz,1099.56 CNY/克
04:20:00,4937.0 USD/oz,1098.4 CNY/克
04:25:00,4933.7 USD/oz,1097.66 CNY/克
04:30:00,4923.7 USD/oz,1095.44 CNY/克
04:35:00,4919.0 USD/oz,1094.39 CNY/克
04:40:00,4918.9 USD/oz,1094.37 CNY/克
04:45:00,4917.4 USD/oz,1094.04 CNY/克
04:50:00,4919.0 USD/oz,1094.39 CNY/克
04:55:00,4919.7 USD/oz,1094.55 CNY/克
05:00:00,4917.6 USD/oz,1094.08 CNY/克
05:05:00,4922.0 USD/oz,1095.06 CNY/克
05:10:00,4917.8 USD/oz,1094.13 CNY/克
05:15:00,4919.7 USD/oz,1094.55 CNY/克
05:20:00,4922.7 USD/oz,1095.22 CNY/克
05:25:00,4922.3 USD/oz,1095.13 CNY/克
05:30:00,4921.8 USD/oz,1095.02 CNY/克
05:35:00,4923.4 USD/oz,1095.37 CNY/克
05:40:00,4924.4 USD/oz,1095.6 CNY/克
05:45:00,4919.8 USD/oz,1094.57 CNY/克
05:50:00,4920.7 USD/oz,1094.77 CNY/克
05:55:00,4926.0 USD/oz,1095.95 CNY/克
06:00:00,4923.0 USD/oz,1095.28 CNY/克
06:05:00,4922.8 USD/oz,1095.24 CNY/克
06:10:00,4922.8 USD/oz,1095.24 CNY/克
06:15:00,4922.8 USD/oz,1095.24 CNY/克
06:20:00,4922.8 USD/oz,1095.24 CNY/克
06:25:00,4922.8 USD/oz,1095.24 CNY/克
06:30:00,4922.8 USD/oz,1095.24 CNY/克
06:35:00,4922.8 USD/oz,1095.24 CNY/克
06:40:00,4922.8 USD/oz,1095.24 CNY/克
06:45:00,4922.8 USD/oz,1095.24 CNY/克
06:50:00,4922.8 USD/oz,1095.24 CNY/克
06:55:00,4922.8 USD/oz,1095.24 CNY/克
07:00:00,4922.8 USD/oz,1095.24 CNY/克
07:05:00,4908.4 USD/oz,1092.04 CNY/克
07:10:00,4907.4 USD/oz,1091.81 CNY/克
07:15:00,4909.0 USD/oz,1092.17 CNY/克
07:20:00,4923.2 USD/oz,1095.33 CNY/克
07:25:00,4921.9 USD/oz,1095.04 CNY/克
07:30:00,4925.8 USD/oz,1095.91 CNY/克
07:35:00,4924.2 USD/oz,1095.55 CNY/克
07:40:00,4918.9 USD/oz,1094.37 CNY/克
07:45:00,4915.6 USD/oz,1093.64 CNY/克
07:50:00,4912.1 USD/oz,1092.86 CNY/克
07:55:00,4915.6 USD/oz,1093.64 CNY/克
08:00:00,4919.0 USD/oz,1094.39 CNY/克
08:05:00,4925.3 USD/oz,1094.21 CNY/克
08:10:00,4944.4 USD/oz,1098.46 CNY/克
08:15:00,4943.4 USD/oz,1098.23 CNY/克
08:20:00,4944.9 USD/oz,1098.57 CNY/克
08:25:00,4942.9 USD/oz,1098.12 CNY/克
08:30:00,4942.5 USD/oz,1098.03 CNY/克
08:35:00,4946.1 USD/oz,1098.83 CNY/克
08:40:00,4941.7 USD/oz,1097.86 CNY/克
08:45:00,4938.7 USD/oz,1097.19 CNY/克
08:50:00,4937.6 USD/oz,1096.94 CNY/克
08:55:00,4935.3 USD/oz,1096.43 CNY/克
09:00:00,4935.0 USD/oz,1096.37 CNY/克
09:05:00,4956.6 USD/oz,1101.17 CNY/克
09:10:00,4961.8 USD/oz,1102.32 CNY/克
09:15:00,4965.2 USD/oz,1103.08 CNY/克
09:20:00,4968.1 USD/oz,1103.72 CNY/克
09:25:00,4976.5 USD/oz,1105.59 CNY/克
09:30:00,4970.1 USD/oz,1104.16 CNY/克
09:35:00,4973.6 USD/oz,1104.94 CNY/克
09:40:00,4968.0 USD/oz,1103.7 CNY/克
09:45:00,4982.0 USD/oz,1106.81 CNY/克
09:50:00,4985.2 USD/oz,1107.52 CNY/克
09:55:00,4984.7 USD/oz,1107.41 CNY/克
10:00:00,4982.7 USD/oz,1106.96 CNY/克
10:05:00,4979.6 USD/oz,1106.28 CNY/克
10:10:00,4978.4 USD/oz,1106.01 CNY/克
10:15:00,4982.0 USD/oz,1106.81 CNY/克
10:20:00,4980.2 USD/oz,1106.41 CNY/克
10:25:00,4983.7 USD/oz,1107.19 CNY/克
10:30:00,4985.3 USD/oz,1107.54 CNY/克
10:35:00,4982.8 USD/oz,1106.99 CNY/克
10:40:00,4983.4 USD/oz,1107.12 CNY/克
10:45:00,4978.9 USD/oz,1106.12 CNY/克
10:50:00,4976.3 USD/oz,1105.54 CNY/克
10:55:00,4982.5 USD/oz,1106.92 CNY/克
11:00:00,4989.2 USD/oz,1108.41 CNY/克
11:05:00,4986.8 USD/oz,1107.87 CNY/克
11:10:00,4985.7 USD/oz,1107.63 CNY/克
11:15:00,4983.6 USD/oz,1107.16 CNY/克
11:20:00,4981.5 USD/oz,1106.7 CNY/克
11:25:00,4976.3 USD/oz,1105.54 CNY/克
11:30:00,4980.5 USD/oz,1106.48 CNY/克
11:35:00,4978.4 USD/oz,1106.01 CNY/克
11:40:00,4978.5 USD/oz,1106.03 CNY/克
11:45:00,4977.7 USD/oz,1105.85 CNY/克
11:50:00,4978.7 USD/oz,1106.08 CNY/克
11:55:00,4981.7 USD/oz,1106.74 CNY/克
12:00:00,4983.6 USD/oz,1107.16 CNY/克
12:05:00,4980.0 USD/oz,1106.36 CNY/克
12:10:00,4983.6 USD/oz,1107.16 CNY/克
12:15:00,4987.0 USD/oz,1107.92 CNY/克
12:20:00,4993.799805 USD/oz,1109.43 CNY/克
12:25:00,4991.299805 USD/oz,1108.87 CNY/克
12:30:00,4986.700195 USD/oz,1107.85 CNY/克
12:35:00,4984.5 USD/oz,1107.36 CNY/克
12:40:00,4982.5 USD/oz,1106.92 CNY/克
12:45:00,4976.799805 USD/oz,1105.65 CNY/克
12:50:00,4977.600098 USD/oz,1105.83 CNY/克
12:55:00,4976.399902 USD/oz,1105.56 CNY/克
13:00:00,4976.799805 USD/oz,1105.65 CNY/克
13:05:00,4982.399902 USD/oz,1106.90 CNY/克
13:10:00,4977.399902 USD/oz,1105.79 CNY/克
13:15:00,4978.799805 USD/oz,1106.10 CNY/克
13:20:00,4976.299805 USD/oz,1105.54 CNY/克
13:25:00,4978.899902 USD/oz,1106.12 CNY/克
13:30:00,4985.600098 USD/oz,1107.61 CNY/克
13:35:00,4970.5 USD/oz,1104.25 CNY/克
13:40:00,4972.899902 USD/oz,1104.79 CNY/克
13:45:00,4965.5 USD/oz,1103.14 CNY/克
